Bait ID,Bait Name,Bait Locus,Bait Notes,Prey Locus,Prey TAIR Symbols,Prey TAIR Description,Number of Interactions
4,SYP23,AT4G17730,,AT4G26410,,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised conserved protein UCP022280 (InterPro:IPR016803); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G45060.1); Has 47 Blast hits to 47 proteins in 12 species: Archae - 3; Bacteria - 0; Metazoa - 1; Fungi - 0; Plants - 40; Viruses - 1; Other Eukaryotes - 2 (source: NCBI BLink).,1
5,RGS1,AT3G26090,,AT4G26410,,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised conserved protein UCP022280 (InterPro:IPR016803); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G45060.1); Has 47 Blast hits to 47 proteins in 12 species: Archae - 3; Bacteria - 0; Metazoa - 1; Fungi - 0; Plants - 40; Viruses - 1; Other Eukaryotes - 2 (source: NCBI BLink).,2
6,GPA1,AT2G26300,CA GPA1,AT4G26410,,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Uncharacterised conserved protein UCP022280 (InterPro:IPR016803); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G45060.1); Has 47 Blast hits to 47 proteins in 12 species: Archae - 3; Bacteria - 0; Metazoa - 1; Fungi - 0; Plants - 40; Viruses - 1; Other Eukaryotes - 2 (source: NCBI BLink).,8
13,PRN,AT3G59220,,AT4G27130,,"eukaryotic translation initiation factor SUI1, putative",1
19,VAP27,AT3G60600,,AT4G27130,,"eukaryotic translation initiation factor SUI1, putative",1
2,AGB1,AT4G34460,,AT4G29020,,glycine-rich protein,1
24,RHIP,AT4G26410,,AT4G29130,"ATHXK1, GIN2, HXK1",HXK1 (HEXOKINASE 1); ATP binding / fructokinase/ glucokinase/ hexokinase,1
5,RGS1,AT3G26090,,AT4G29590,,methyltransferase,1
3,NDL1,AT5G56750,,AT4G29780,,unknown protein,2
5,RGS1,AT3G26090,,AT4G29780,,unknown protein,1
2,AGB1,AT4G34460,,AT4G32175,,RNA binding,5
5,RGS1,AT3G26090,,AT4G32285,,epsin N-terminal homology (ENTH) domain-containing protein / clathrin assembly protein-related,2
5,RGS1,AT3G26090,,AT4G32320,APX6,APX6; L-ascorbate peroxidase/ heme binding / peroxidase,1
2,AGB1,AT4G34460,,AT4G32520,SHM3,SHM3 (SERINE HYDROXYMETHYLTRANSFERASE 3); catalytic/ glycine hydroxymethyltransferase/ pyridoxal phosphate binding,1
1,TGA1,AT5G65210,,AT4G32690,GLB3,GLB3; oxygen transporter,1
6,GPA1,AT2G26300,CA GPA1,AT4G33060,,peptidyl-prolyl cis-trans isomerase cyclophilin-type family protein,1
9,ATARD1,AT4G14716,,AT4G33910,,"oxidoreductase, 2OG-Fe(II) oxygenase family protein",1
16,CDC48B,AT2G03670,,AT4G34460,"AGB1, ELK4, ATAGB1",AGB1 (GTP BINDING PROTEIN BETA 1); GTPase/ nucleotide binding / protein binding,1
23,,AT1G05000,,AT4G34460,"AGB1, ELK4, ATAGB1",AGB1 (GTP BINDING PROTEIN BETA 1); GTPase/ nucleotide binding / protein binding,1
6,GPA1,AT2G26300,CA GPA1,AT4G34990,AtMYB32,AtMYB32 (myb domain protein 32); DNA binding / transcription factor,1
5,RGS1,AT3G26090,,AT4G35250,,vestitone reductase-related,1
2,AGB1,AT4G34460,,AT4G35580,NTL9,NTL9 (NAC transcription factor-like 9); transcription factor,3
5,RGS1,AT3G26090,,AT4G35770,"SEN1, ATSEN1, DIN1",SEN1 (SENESCENCE 1),1
2,AGB1,AT4G34460,,AT4G36250,ALDH3F1,ALDH3F1 (Aldehyde Dehydrogenase 3F1); 3-chloroallyl aldehyde dehydrogenase/ aldehyde dehydrogenase (NAD),2
5,RGS1,AT3G26090,,AT4G36710,,transcription factor,1
8,Phosducin,AT5G14240,,AT4G36710,,transcription factor,2
6,GPA1,AT2G26300,CA GPA1,AT4G37180,,myb family transcription factor,3
5,RGS1,AT3G26090,,AT4G37250,,leucine-rich repeat family protein / protein kinase family protein,1
7,RACK1C,AT3G18130,,AT4G37540,LBD39,LBD39 (LOB DOMAIN-CONTAINING PROTEIN 39),1
12,Esterase-Lipase,AT1G52760,,AT4G37550,,"formamidase, putative / formamide amidohydrolase, putative",4
3,NDL1,AT5G56750,,AT4G38550,,"LOCATED IN: chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Phospholipase-like, arabidopsis (InterPro:IPR007942); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G20950.1); Has 2527 Blast hits to 1973 proteins in 273 species: Archae - 3; Bacteria - 103; Metazoa - 1039; Fungi - 619; Plants - 503; Viruses - 44; Other Eukaryotes - 216 (source: NCBI BLink).",1
2,AGB1,AT4G34460,,AT4G38680,"GRP2, CSDP2, CSP2, ATCSP2",GRP2 (GLYCINE RICH PROTEIN 2); double-stranded DNA binding / mRNA binding / nucleic acid binding / single-stranded DNA binding,2
3,NDL1,AT5G56750,,AT4G38690,,1-phosphatidylinositol phosphodiesterase-related,1
3,NDL1,AT5G56750,,AT4G39330,"ATCAD9, CAD9",CAD9 (CINNAMYL ALCOHOL DEHYDROGENASE 9); binding / catalytic/ oxidoreductase/ zinc ion binding,1
3,NDL1,AT5G56750,,AT4G40030,,histone H3.2,10
2,AGB1,AT4G34460,,AT5G01010,,EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: GOLD (InterPro:IPR009038).,1
5,RGS1,AT3G26090,,AT5G01210,,transferase family protein,2
5,RGS1,AT3G26090,,AT5G01530,,chlorophyll A-B binding protein CP29 (LHCB4),1
4,SYP23,AT4G17730,,AT5G01540,LECRKA4.1,LECRKA4.1 (LECTIN RECEPTOR KINASE A4.1); kinase,1
4,SYP23,AT4G17730,,AT5G01800,,saposin B domain-containing protein,1
5,RGS1,AT3G26090,,AT5G01840,"ATOFP1, OFP1",OFP1 (OVATE FAMILY PROTEIN 1); protein binding / transcription repressor,1
1,TGA1,AT5G65210,,AT5G02450,,60S ribosomal protein L36 (RPL36C),1
3,NDL1,AT5G56750,,AT5G03290,,"isocitrate dehydrogenase, putative / NAD+ isocitrate dehydrogenase, putative",1
4,SYP23,AT4G17730,,AT5G03540,ATEXO70A1,ATEXO70A1 (exocyst subunit EXO70 family protein A1); protein binding,1
24,,AT4G26410,,AT5G03540,ATEXO70A1,ATEXO70A1 (exocyst subunit EXO70 family protein A1); protein binding,1
19,VAP27,AT3G60600,,AT5G04560,DME,DME (DEMETER); DNA N-glycosylase/ DNA-(apurinic or apyrimidinic site) lyase,1
4,SYP23,AT4G17730,,AT5G05760,"SYP31, ATSED5, ATSYP31, SED5",SYP31 (SYNTAXIN OF PLANTS 31); SNAP receptor,1
5,RGS1,AT3G26090,,AT5G05760,"SYP31, ATSED5, ATSYP31, SED5",SYP31 (SYNTAXIN OF PLANTS 31); SNAP receptor,1
15,ATARD4,AT5G43850,,AT5G05760,"SYP31, ATSED5, ATSYP31, SED5",SYP31 (SYNTAXIN OF PLANTS 31); SNAP receptor,1
23,,AT1G05000,,AT5G05760,"SYP31, ATSED5, ATSYP31, SED5",SYP31 (SYNTAXIN OF PLANTS 31); SNAP receptor,1
24,,AT4G26410,,AT5G05760,"SYP31, ATSED5, ATSYP31, SED5",SYP31 (SYNTAXIN OF PLANTS 31); SNAP receptor,1
7,RACK1C,AT3G18130,,AT5G06110,,DNAJ heat shock N-terminal domain-containing protein / cell division protein-related,1
2,AGB1,AT4G34460,,AT5G08510,,pentatricopeptide (PPR) repeat-containing protein,1
7,RACK1C,AT3G18130,,AT5G09650,AtPPa6,AtPPa6 (Arabidopsis thaliana pyrophosphorylase 6); inorganic diphosphatase/ pyrophosphatase,4
1,TGA1,AT5G65210,,AT5G10360,EMB3010,EMB3010 (embryo defective 3010); structural constituent of ribosome,1
6,GPA1,AT2G26300,CA GPA1,AT5G10470,,kinesin motor protein-related,2
4,SYP23,AT4G17730,,AT5G10860,,CBS domain-containing protein,1
5,RGS1,AT3G26090,,AT5G11790,,Ndr family protein,1
4,SYP23,AT4G17730,,AT5G13190,,INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: LPS-induced tumor necrosis factor alpha factor (InterPro:IPR006629); Has 21 Blast hits to 21 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 19; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,1
6,GPA1,AT2G26300,CA GPA1,AT5G13430,,"ubiquinol-cytochrome C reductase iron-sulfur subunit, mitochondrial, putative / Rieske iron-sulfur protein, putative",8
11,UNE16,AT4G13640,,AT5G13430,,"ubiquinol-cytochrome C reductase iron-sulfur subunit, mitochondrial, putative / Rieske iron-sulfur protein, putative",1
6,GPA1,AT2G26300,CA GPA1,AT5G13440,,"ubiquinol-cytochrome C reductase iron-sulfur subunit, mitochondrial, putative / Rieske iron-sulfur protein, putative",2
13,PRN,AT3G59220,,AT5G13450,,"ATP synthase delta chain, mitochondrial, putative / H(+)-transporting two-sector ATPase, delta (OSCP) subunit, putative",2
4,SYP23,AT4G17730,,AT5G13630,"GUN5, CCH, CHLH, CCH1",GUN5 (GENOMES UNCOUPLED 5); magnesium chelatase,2
5,RGS1,AT3G26090,,AT5G14180,MPL1,MPL1 (MYZUS PERSICAE-INDUCED LIPASE 1); catalytic,1
4,SYP23,AT4G17730,,AT5G14240,,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Phosducin (InterPro:IPR001200), Thioredoxin-like fold (InterPro:IPR012336); Has 750 Blast hits to 750 proteins in 282 species: Archae - 0; Bacteria - 2; Metazoa - 486; Fungi - 126; Plants - 51; Viruses - 0; Other Eukaryotes - 85 (source: NCBI BLink).",1
5,RGS1,AT3G26090,,AT5G14240,,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Phosducin (InterPro:IPR001200), Thioredoxin-like fold (InterPro:IPR012336); Has 750 Blast hits to 750 proteins in 282 species: Archae - 0; Bacteria - 2; Metazoa - 486; Fungi - 126; Plants - 51; Viruses - 0; Other Eukaryotes - 85 (source: NCBI BLink).",1
24,,AT4G26410,,AT5G14240,,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Phosducin (InterPro:IPR001200), Thioredoxin-like fold (InterPro:IPR012336); Has 750 Blast hits to 750 proteins in 282 species: Archae - 0; Bacteria - 2; Metazoa - 486; Fungi - 126; Plants - 51; Viruses - 0; Other Eukaryotes - 85 (source: NCBI BLink).",1
16,CDC48B,AT2G03670,,AT5G14320,,"30S ribosomal protein S13, chloroplast (CS13)",1
7,RACK1C,AT3G18130,,AT5G14430,,dehydration-responsive protein-related,2
6,GPA1,AT2G26300,CA GPA1,AT5G14660,"PDF1B, DEF2, ATDEF2",PDF1B (PEPTIDE DEFORMYLASE 1B); iron ion binding / peptide deformylase,1
5,RGS1,AT3G26090,,AT5G14760,AO,AO (L-ASPARTATE OXIDASE); L-aspartate oxidase/ electron carrier/ oxidoreductase,1
5,RGS1,AT3G26090,,AT5G15680,,binding,1
6,GPA1,AT2G26300,CA GPA1,AT5G16590,LRR1,LRR1; ATP binding / kinase/ protein serine/threonine kinase,1
19,VAP27,AT3G60600,,AT5G16600,"MYB43, AtMYB43",MYB43 (myb domain protein 43); DNA binding / transcription factor,1
2,AGB1,AT4G34460,,AT5G16840,BPA1,BPA1 (BINDINGPARTNEROFACD11 1); nucleic acid binding / nucleotide binding / oxidoreductase,3
3,NDL1,AT5G56750,,AT5G16840,BPA1,BPA1 (BINDINGPARTNEROFACD11 1); nucleic acid binding / nucleotide binding / oxidoreductase,1
3,NDL1,AT5G56750,,AT5G17920,"ATCIMS, ATMETS, ATMS1",ATMS1; 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase/ copper ion binding / methionine synthase,1
4,SYP23,AT4G17730,,AT5G18050,,"auxin-responsive protein, putative",1
1,TGA1,AT5G65210,,AT5G20150,"ATSPX1, SPX1",SPX1 (SPX DOMAIN GENE 1),1
5,RGS1,AT3G26090,,AT5G20150,"ATSPX1, SPX1",SPX1 (SPX DOMAIN GENE 1),1
6,GPA1,AT2G26300,CA GPA1,AT5G20150,"ATSPX1, SPX1",SPX1 (SPX DOMAIN GENE 1),11
11,UNE16,AT4G13640,,AT5G20150,"ATSPX1, SPX1",SPX1 (SPX DOMAIN GENE 1),3
4,SYP23,AT4G17730,,AT5G20230,"ATBCB, BCB",ATBCB (ARABIDOPSIS BLUE-COPPER-BINDING PROTEIN); copper ion binding / electron carrier,2
5,RGS1,AT3G26090,,AT5G20830,"SUS1, ASUS1, atsus1",SUS1 (SUCROSE SYNTHASE 1); UDP-glycosyltransferase/ sucrose synthase,1
2,AGB1,AT4G34460,,AT5G22290,anac089,anac089 (Arabidopsis NAC domain containing protein 89); transcription factor,6
5,RGS1,AT3G26090,,AT5G22790,RER1,RER1 (RETICULATA-RELATED 1),1
6,GPA1,AT2G26300,CA GPA1,AT5G23060,CaS,CaS (Calcium sensing receptor),2
6,GPA1,AT2G26300,CA GPA1,AT5G23280,TCP7,"TCP7 family transcription factor, putative",9
3,NDL1,AT5G56750,,AT5G23630,,ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase familiy protein,1
2,AGB1,AT4G34460,,AT5G24620,,"thaumatin-like protein, putative",2
6,GPA1,AT2G26300,CA GPA1,AT5G24620,,"thaumatin-like protein, putative",2
9,ATARD1,AT4G14716,,AT5G24620,,"thaumatin-like protein, putative",3
3,NDL1,AT5G56750,,AT5G24710,,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: WD40 repeat-like (InterPro:IPR011046), WD40 repeat, region (InterPro:IPR017986), WD40 repeat (InterPro:IPR001680), WD40/YVTN repeat-like (InterPro:IPR015943); Has 46946 Blast hits to 23834 proteins in 1336 species: Archae - 160; Bacteria - 9572; Metazoa - 15324; Fungi - 6794; Plants - 1938; Viruses - 1106; Other Eukaryotes - 12052 (source: NCBI BLink).",1
3,NDL1,AT5G56750,,AT5G24740,,INVOLVED IN: protein localization; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Vacuolar protein sorting-associated protein (InterPro:IPR009543); BEST Arabidopsis thaliana protein match is: phosphoinositide binding (TAIR:AT1G48090.2); Has 1782 Blast hits to 981 proteins in 148 species: Archae - 0; Bacteria - 0; Metazoa - 1018; Fungi - 290; Plants - 104; Viruses - 0; Other Eukaryotes - 370 (source: NCBI BLink).,1
3,NDL1,AT5G56750,,AT5G25100,,"endomembrane protein 70, putative",1
5,RGS1,AT3G26090,,AT5G25220,KNAT3,KNAT3 (KNOTTED1-LIKE HOMEOBOX GENE 3); transcription activator/ transcription factor,1
5,RGS1,AT3G26090,,AT5G25350,EBF2,EBF2 (EIN3-BINDING F BOX PROTEIN 2); protein binding,1
2,AGB1,AT4G34460,,AT5G27330,,LOCATED IN: endoplasmic reticulum; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: Prefoldin (InterPro:IPR009053); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G05130.1); Has 110457 Blast hits to 56483 proteins in 2051 species: Archae - 1653; Bacteria - 15111; Metazoa - 52441; Fungi - 7858; Plants - 4309; Viruses - 584; Other Eukaryotes - 28501 (source: NCBI BLink).,2
5,RGS1,AT3G26090,,AT5G27840,TOPP8,TOPP8; protein serine/threonine phosphatase,1
11,UNE16,AT4G13640,,AT5G27840,TOPP8,TOPP8; protein serine/threonine phosphatase,1
4,SYP23,AT4G17730,,AT5G29000,,myb family transcription factor,1
5,RGS1,AT3G26090,,AT5G29000,,myb family transcription factor,2
2,AGB1,AT4G34460,,AT5G38480,"GRF3, RCI1",GRF3 (GENERAL REGULATORY FACTOR 3); ATP binding / protein binding / protein phosphorylated amino acid binding,1
5,RGS1,AT3G26090,,AT5G38650,,proteasome maturation factor UMP1 family protein,1
4,SYP23,AT4G17730,,AT5G39410,,binding / catalytic,1
2,AGB1,AT4G34460,,AT5G40730,"AGP24, ATAGP24",AGP24,1
7,RACK1C,AT3G18130,,AT5G41990,"WNK8, ATWNK8",WNK8 (WITH NO LYSINE (K) KINASE 8); kinase/ protein kinase,1
18,RACK1B,AT1G48630,,AT5G41990,"WNK8, ATWNK8",WNK8 (WITH NO LYSINE (K) KINASE 8); kinase/ protein kinase,1
5,RGS1,AT3G26090,,AT5G42000,,ORMDL family protein,1
24,,AT4G26410,,AT5G42030,ABIL4,ABIL4 (ABL INTERACTOR-LIKE PROTEIN 4),1
13,PRN,AT3G59220,,AT5G42850,,"INVOLVED IN: cell redox homeostasis; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Thioredoxin-like fold (InterPro:IPR012336), Protein of unknown function DUF953, thioredoxin-like (InterPro:IPR010357); Has 237 Blast hits to 237 proteins in 83 species: Archae - 0; Bacteria - 0; Metazoa - 174; Fungi - 29; Plants - 21; Viruses - 0; Other Eukaryotes - 13 (source: NCBI BLink).",4
9,ATARD1,AT4G14716,,AT5G43830,,unknown protein,60
9,ATARD1,AT4G14716,,AT5G43850,"ATARD4, ARD4",ARD4; acireductone dioxygenase [iron(II)-requiring]/ metal ion binding,3
22,GPA1,AT2G26300,,AT5G43850,"ATARD4, ARD4",ARD4; acireductone dioxygenase [iron(II)-requiring]/ metal ion binding,1
24,,AT4G26410,,AT5G43850,"ATARD4, ARD4",ARD4; acireductone dioxygenase [iron(II)-requiring]/ metal ion binding,1
3,NDL1,AT5G56750,,AT5G43940,"HOT5, ADH2, GSNOR",HOT5 (sensitive to hot temperatures 5); S-(hydroxymethyl)glutathione dehydrogenase/ S-nitrosoglutathione reductase,1
5,RGS1,AT3G26090,,AT5G46490,,"disease resistance protein (TIR-NBS class), putative",1
3,NDL1,AT5G56750,,AT5G46780,,VQ motif-containing protein,1
5,RGS1,AT3G26090,,AT5G47530,,"auxin-responsive protein, putative",1
5,RGS1,AT3G26090,,AT5G47780,GAUT4,"GAUT4 (Galacturonosyltransferase 4); polygalacturonate 4-alpha-galacturonosyltransferase/ transferase, transferring glycosyl groups",4
5,RGS1,AT3G26090,,AT5G48150,PAT1,PAT1 (phytochrome a signal transduction 1); signal transducer/ transcription factor,1
1,TGA1,AT5G65210,,AT5G48330,,regulator of chromosome condensation (RCC1) family protein,1
13,PRN,AT3G59220,,AT5G48610,,unknown protein,1
1,TGA1,AT5G65210,,AT5G48930,HCT,HCT (HYDROXYCINNAMOYL-COA SHIKIMATE/QUINATE HYDROXYCINNAMOYL TRANSFERASE); quinate O-hydroxycinnamoyltransferase/ shikimate O-hydroxycinnamoyltransferase/ transferase,1
9,ATARD1,AT4G14716,,AT5G50100,,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin-like fold (InterPro:IPR012336), Putative thiol-disulphide oxidoreductase DCC (InterPro:IPR007263); Has 598 Blast hits to 598 proteins in 152 species: Archae - 0; Bacteria - 266; Metazoa - 3; Fungi - 0; Plants - 27; Viruses - 0; Other Eukaryotes - 302 (source: NCBI BLink).",1
7,RACK1C,AT3G18130,,AT5G51190,,"AP2 domain-containing transcription factor, putative",3
2,AGB1,AT4G34460,,AT5G51770,,protein kinase family protein,1
5,RGS1,AT3G26090,,AT5G51890,,peroxidase,1
3,NDL1,AT5G56750,,AT5G53400,,nuclear movement family protein,1
8,Phosducin,AT5G14240,,AT5G54770,"THI1, TZ, THI4",THI1; protein homodimerization,1
1,TGA1,AT5G65210,,AT5G54900,ATRBP45A,ATRBP45A (RNA-binding protein 45A); RNA binding,1
8,Phosducin,AT5G14240,,AT5G54960,PDC2,PDC2 (pyruvate decarboxylase-2); carboxy-lyase/ catalytic/ magnesium ion binding / pyruvate decarboxylase/ thiamin pyrophosphate binding,1
1,TGA1,AT5G65210,,AT5G55160,"SUM2, SUMO 2, SUMO2, ATSUMO2",SUMO2 (SMALL UBIQUITIN-LIKE MODIFIER 2); protein binding / protein tag,1
2,AGB1,AT4G34460,,AT5G56750,,Ndr family protein,1
4,SYP23,AT4G17730,,AT5G56750,,Ndr family protein,1
5,RGS1,AT3G26090,,AT5G57050,ABI2,ABI2 (ABA INSENSITIVE 2); protein serine/threonine phosphatase,1
5,RGS1,AT3G26090,,AT5G57560,"TCH4, XTH22","TCH4 (Touch 4); hydrolase, acting on glycosyl bonds / xyloglucan:xyloglucosyl transferase",1
3,NDL1,AT5G56750,,AT5G57740,XBAT32,XBAT32; protein binding / zinc ion binding,1
5,RGS1,AT3G26090,,AT5G58750,,wound-responsive protein-related,2
4,SYP23,AT4G17730,,AT5G59105,,Encodes a defensin-like (DEFL) family protein.,1
2,AGB1,AT4G34460,,AT5G59550,,zinc finger (C3HC4-type RING finger) family protein,2
1,TGA1,AT5G65210,,AT5G59880,ADF3,ADF3 (ACTIN DEPOLYMERIZING FACTOR 3); actin binding,1
3,NDL1,AT5G56750,,AT5G60920,COB,COB (COBRA),1
6,GPA1,AT2G26300,CA GPA1,AT5G61820,,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: vacuole; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Stress up-regulated Nod 19 (InterPro:IPR011692); Has 27 Blast hits to 27 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 26; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).,1
13,PRN,AT3G59220,,AT5G61820,,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: vacuole; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Stress up-regulated Nod 19 (InterPro:IPR011692); Has 27 Blast hits to 27 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 26; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).,1
4,SYP23,AT4G17730,,AT5G62360,,invertase/pectin methylesterase inhibitor family protein,1
3,NDL1,AT5G56750,,AT5G63370,,protein kinase family protein,1
5,RGS1,AT3G26090,,AT5G64120,,"peroxidase, putative",1
4,SYP23,AT4G17730,,AT5G64140,RPS28,RPS28 (RIBOSOMAL PROTEIN S28); structural constituent of ribosome,1
2,AGB1,AT4G34460,,AT5G64330,"NPH3, RPT3, JK218",NPH3 (NON-PHOTOTROPIC HYPOCOTYL 3); protein binding / signal transducer,1
5,RGS1,AT3G26090,,AT5G64620,"C/VIF2, ATC/VIF2",C/VIF2 (CELL WALL / VACUOLAR INHIBITOR OF FRUCTOSIDASE 2); enzyme inhibitor/ pectinesterase/ pectinesterase inhibitor,1
5,RGS1,AT3G26090,,AT5G65210,TGA1,TGA1; DNA binding / calmodulin binding / transcription factor,2
4,SYP23,AT4G17730,,AT5G65495,,unknown protein,1
5,RGS1,AT3G26090,,AT5G65650,,unknown protein,1
7,RACK1C,AT3G18130,,AT5G65780,ATBCAT-5,ATBCAT-5; branched-chain-amino-acid transaminase/ catalytic,1
2,AGB1,AT4G34460,,AT5G66180,,LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Bacterial Fmu (Sun)/eukaryotic nucleolar NOL1/Nop2p (InterPro:IPR001678); BEST Arabidopsis thaliana protein match is: NOL1/NOP2/sun family protein (TAIR:AT1G06560.1); Has 5021 Blast hits to 4182 proteins in 1157 species: Archae - 270; Bacteria - 3133; Metazoa - 499; Fungi - 156; Plants - 103; Viruses - 0; Other Eukaryotes - 860 (source: NCBI BLink).,4
1,TGA1,AT5G65210,,AT5G66930,,unknown protein,1
5,RGS1,AT3G26090,,AT5G67380,"CKA1, ATCKA1",CKA1 (CASEIN KINASE ALPHA 1); kinase,1
23,,AT1G05000,,AT5G67380,"CKA1, ATCKA1",CKA1 (CASEIN KINASE ALPHA 1); kinase,1
24,,AT4G26410,,AT5G67380,"CKA1, ATCKA1",CKA1 (CASEIN KINASE ALPHA 1); kinase,1
4,SYP23,AT4G17730,,ATCG00220,PSBM,PSII low MW protein,1
5,RGS1,AT3G26090,,ATMG00090,,ribosomal protein S3,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
